trial_id,scenario,method,repeat,uav_id,samples,requested_duration_s,tracking_rmse_m,max_tracking_error_m,arrival_time_s,settling_time_s,overshoot_m,max_actual_velocity_mps,max_actual_acceleration_mps2,final_position_error_m
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,1,342,12.0,0.1589861675021615,0.5937104225158691,12.687592506408691,nan,0.06876628676356944,1.7785091518376115,7.467669747203748,0.02081507771464009
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,2,342,12.0,0.5465173131261061,1.0286319255828857,12.890713691711426,nan,0.03812520113938689,1.821649432422334,9.016297566029008,0.03218268268591744
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,3,342,12.0,0.1067924792865587,0.364545077085495,12.288656234741211,nan,0.10820048390479275,0.9884085652746935,7.543317889695001,0.006299470767618379
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,4,342,12.0,0.11209431179707595,0.32222020626068115,12.187793731689453,nan,0.08827369244340755,0.9493248471681731,7.224958948109296,0.011877122510706451
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,5,342,12.0,0.6776342664923387,1.2066123485565186,12.989070892333984,nan,0.023280122448571916,1.7974001514826357,7.936048683589144,0.026106785016742556
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,6,342,12.0,0.14186308481921991,0.3719092607498169,12.289685249328613,nan,0.09043825011838624,0.99725763436501,7.412674600343155,0.01401031791895521
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,7,342,12.0,0.4997747917312341,0.9739636778831482,13.107868194580078,nan,0.024547584509624798,1.6945696006310609,8.22580748793795,0.027895628198355654
eight_uav_line_to_circle__linear_ladrc__r03,eight_uav_line_to_circle,linear_ladrc,3,8,342,12.0,0.19910523731667834,0.6867904663085938,12.709897994995117,nan,0.052295760048508555,1.3684498726823144,7.689772341194771,0.01794603685104612
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,1,341,12.0,0.17512434014101366,0.7301893830299377,12.584676742553711,nan,0.05128039962953146,1.6403668711191532,7.536355493186408,0.03595174058061459
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,2,341,12.0,0.5333064217048197,0.9703421592712402,13.093204498291016,nan,0.02919875493677182,1.8146966224992096,8.22568223835347,0.024574249245157408
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,3,341,12.0,0.10574175227863827,0.35487428307533264,12.294873237609863,nan,0.10901766372826849,0.9713633561295082,7.8357399037749165,0.053263501122849166
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,4,341,12.0,0.11392976081400966,0.3189343512058258,12.19930362701416,nan,0.09122966848419622,0.9482082770063797,7.628943617985238,0.051503618411213425
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,5,341,12.0,0.6567093155902965,1.173266053199768,13.099544525146484,nan,0.024498370656161228,1.7689514716030568,8.11588262833655,0.04113472976416167
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,6,341,12.0,0.13460321451615867,0.3661445379257202,12.292899131774902,nan,0.09380143601947921,0.9493155236959508,7.416804460067619,0.051516786090819444
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,7,341,12.0,0.5087698916619833,0.9897040724754333,12.892656326293945,nan,0.02448986218570326,1.6537447163301875,7.254771190953772,0.030596483559482118
eight_uav_line_to_circle__linear_ladrc__r04,eight_uav_line_to_circle,linear_ladrc,4,8,341,12.0,0.1778610089543088,0.6084297895431519,12.490808486938477,nan,0.05092651070641807,1.3762332927923289,7.074620810036189,0.03150836034581531
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,1,341,12.0,0.1416649695062489,0.5440688729286194,12.497027397155762,nan,0.05944164073256886,1.4045794619597654,7.399241957800977,0.03537047945400984
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,2,341,12.0,0.517623529943621,0.9743865728378296,12.996859550476074,nan,0.01944241413583292,1.9182212156818212,8.179948700566351,0.01818561230451378
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,3,342,12.0,0.09338811727403362,0.3581027090549469,12.280647277832031,nan,0.10781410002574532,1.0084975681305668,7.93203568980753,0.023107444307172542
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,4,342,12.0,0.08917010462720486,0.3234308362007141,12.281211853027344,nan,0.096539648039081,1.0218353996687102,7.30353540249031,0.028435400366692103
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,5,342,12.0,0.6841510157606917,1.2251251935958862,13.28014087677002,nan,0.02277671043684748,1.912020662607887,7.896019127719718,0.05905585838369676
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,6,342,12.0,0.1224021787956774,0.3692726492881775,12.282419204711914,nan,0.0965638933319175,1.016915283533021,7.730195113097322,0.02221030194473296
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,7,342,12.0,0.4969517923433918,0.9803423285484314,13.088760375976562,nan,0.02109964510704465,1.735693777896483,8.408855008776147,0.044453389973269586
eight_uav_line_to_circle__linear_ladrc__r05,eight_uav_line_to_circle,linear_ladrc,5,8,342,12.0,0.1856956101373781,0.6220564246177673,12.585371971130371,nan,0.06257486850802785,1.4463572268475242,8.368366809035415,0.015145522370566227
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,1,341,12.0,0.15075130163353231,0.3050837516784668,10.994656562805176,nan,0.04524177410267072,1.8264140999360288,8.342429637898883,0.0518039211159306
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,2,342,12.0,0.5554976053489338,1.154911756515503,11.389623641967773,nan,0.039907011361211886,2.012083885074629,7.986377858577063,0.02139039482363306
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,3,341,12.0,0.14933054153417114,0.30211105942726135,10.192124366760254,nan,0.0520225851982401,1.1198202784913454,7.4324033461885115,0.014842180666909663
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,4,341,12.0,0.15052199542607844,0.3145238757133484,10.193894386291504,nan,0.05354810805036525,0.9551703319163184,7.434779892070901,0.012608266698633295
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,5,336,12.0,0.7687714258047682,1.553222417831421,11.596325874328613,nan,0.037549819084613745,2.254387798164044,8.392038713525634,0.030034944653464648
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,6,341,12.0,0.17950910385616628,0.3544101119041443,10.300386428833008,nan,0.04596314624385567,1.0868491075933793,7.40244902708218,0.008234381706117285
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,7,341,12.0,0.5691340820396378,1.1777997016906738,11.0969877243042,nan,0.038413646656744405,1.9891127584459094,7.931611175382321,0.019635528221362403
eight_uav_line_to_circle__minimum_jerk_ladrc__r01,eight_uav_line_to_circle,minimum_jerk_ladrc,1,8,341,12.0,0.22557564709089417,0.43582218885421753,10.69507122039795,nan,0.04420588822572924,1.7779446694240102,7.820710333222157,0.01650686650577883
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,1,343,12.0,0.11353292387140781,0.2672685980796814,11.192837715148926,nan,0.05170203133975093,1.8661647601379578,7.680314149433999,0.019435720705101443
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,2,343,12.0,0.5337908411075811,1.0902831554412842,11.180278778076172,nan,0.047605372260461465,2.042877742435314,8.529570905022348,0.022461686900408655
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,3,343,12.0,0.08519282989761587,0.1410941630601883,10.19668960571289,nan,0.056940438553113815,1.1882486440957436,8.732371674685767,0.034892989104049074
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,4,343,12.0,0.07274979107316418,0.114356130361557,9.994794845581055,nan,0.06607555484694405,1.0433337775365668,8.053523281068403,0.06105079609289247
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,5,343,12.0,0.7468902453779259,1.4864838123321533,11.294609069824219,nan,0.04300493083417223,2.254865096847651,8.35276779037493,0.024254489300957038
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,6,343,12.0,0.08529582463734359,0.15288454294204712,10.39945125579834,nan,0.048478042369615615,1.2139022952740317,8.080411119194624,0.03111159744891744
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,7,343,12.0,0.5478528378884987,1.1415268182754517,11.381148338317871,nan,0.04166230219958855,1.991364964936322,7.8332051280490305,0.03295859701555968
eight_uav_line_to_circle__minimum_jerk_ladrc__r02,eight_uav_line_to_circle,minimum_jerk_ladrc,2,8,343,12.0,0.16883782237902153,0.34024932980537415,10.800047874450684,nan,0.04626840621470407,1.7707753716707821,7.53551788389224,0.036804497713374885
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,1,341,12.0,0.10930845820865241,0.20394399762153625,10.894963264465332,nan,0.04465585903767355,1.9092753778341447,8.229599146808038,0.04036253593928324
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,2,341,12.0,0.5613512267224611,1.1624661684036255,11.39438533782959,nan,0.04533791133627574,1.9895965682130017,7.536713784405191,0.013226752878838201
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,3,341,12.0,0.08141197678958619,0.131972074508667,10.398138046264648,nan,0.05213283428350923,1.23111892547007,7.114906211662063,0.04220072017271086
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,4,341,12.0,0.08304301650298655,0.15264050662517548,10.098663330078125,nan,0.05330195903859192,1.039722536336878,6.882623028053997,0.03962333072743566
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,5,341,12.0,0.7607941474433128,1.5318634510040283,11.39877700805664,nan,0.03694338819397558,2.247474670825797,7.721192414907374,0.01578569360422846
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,6,341,12.0,0.14309648955190823,0.29848432540893555,10.19655704498291,nan,0.049434071183179995,1.1290592035701814,7.237161109522246,0.008677790142044362
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,7,341,12.0,0.5574053799289493,1.1556575298309326,11.181344032287598,nan,0.04301968811160428,1.98546723953342,8.828204417487507,0.01318200124814681
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,341,12.0,0.1744115088511542,0.3545360565185547,10.700310707092285,nan,0.05068550610673839,1.795114228939289,7.324539832397491,0.034799666942337014
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,1,342,12.0,0.12190704672148957,0.24652306735515594,10.98800277709961,nan,0.049990492906081485,1.8863578764639028,8.29462191525676,0.02120761880258029
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,2,342,12.0,0.5533758252087879,1.158280372619629,11.396117210388184,nan,0.04004537142576048,1.999326278136686,8.586206764048248,0.03523550273788193
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,3,342,12.0,0.09770234142744273,0.18576417863368988,10.284690856933594,nan,0.050765590500314595,1.1831853528395713,6.861378631710197,0.0538805352106003
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,4,342,12.0,0.11978623663274407,0.25052860379219055,10.093525886535645,nan,0.049279883061621454,1.0087000267768997,7.515581536185287,0.02005535631844257
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,5,342,12.0,0.7503996754579576,1.5029375553131104,11.39248275756836,nan,0.035467087260609986,2.2502643748472324,7.7867522465526955,0.0387840108341172
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,6,342,12.0,0.15131658097932368,0.3076995611190796,10.198363304138184,nan,0.05307215554001843,1.1047530291739753,7.034358206647861,0.057520579938004815
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,7,342,12.0,0.5468678188848276,1.132910966873169,11.299156188964844,nan,0.045088914766017396,1.976231107207152,8.536635213257892,0.05362223056711936
eight_uav_line_to_circle__minimum_jerk_ladrc__r04,eight_uav_line_to_circle,minimum_jerk_ladrc,4,8,342,12.0,0.18974999550320565,0.3808777630329132,10.598316192626953,nan,0.04569330997755827,1.7879415257061906,7.7517926787063125,0.031682133616983583
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,1,341,12.0,0.11938928071239202,0.2624276578426361,11.049947738647461,nan,0.04656116499191221,1.8478470648111958,7.607205783098305,0.009571641417402644
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,2,341,12.0,0.5685812870475766,1.1664228439331055,11.443986892700195,nan,0.037687263767342216,2.041215315218511,7.799531903705858,0.013114817765087066
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,3,341,12.0,0.0977775375213239,0.17874538898468018,10.148462295532227,nan,0.04963053368129344,1.1742447443623294,7.5168975370447635,0.022401935223265508
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,4,341,12.0,0.0982297287330392,0.19161643087863922,10.040180206298828,nan,0.05165924033159186,1.0289470231088702,6.9428264988021615,0.017315705600672672
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,5,341,12.0,0.7556256132969057,1.5183056592941284,11.248563766479492,nan,0.03948270344841376,2.2371941863210996,7.869880690177733,0.04225725286365997
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,6,341,12.0,0.10304985985945621,0.20865462720394135,10.25171184539795,nan,0.04849850473286388,1.1817611908994072,7.029736608166333,0.025544438230465153
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,7,341,12.0,0.5363141575019535,1.1285074949264526,11.247580528259277,nan,0.04540862857362171,2.001333145093697,7.810923306933044,0.021908471836518163
eight_uav_line_to_circle__minimum_jerk_ladrc__r05,eight_uav_line_to_circle,minimum_jerk_ladrc,5,8,341,12.0,0.16202950823963735,0.32899317145347595,10.7396821975708,nan,0.04854392477714242,1.7883427708558195,8.115025323704394,0.02984024007684162
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,1,341,12.0,4.415848343092514,12.266894340515137,10.390548706054688,nan,0.6458890670298469,6.501250643294259,6.71362526231384,0.48312907887905876
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,2,341,12.0,5.863373008750508,15.613415718078613,nan,nan,0.7675014727304621,7.879213841007644,7.391169018685984,0.4790724358342125
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,3,341,12.0,2.7567295606793674,7.960302352905273,5.588021278381348,7.388038158416748,0.5003390310362006,4.511258815524029,6.922960127353091,0.47140885543061883
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,4,341,12.0,2.334457848301673,6.9513163566589355,5.392643928527832,5.392643928527832,0.40430244527646053,3.90957365509832,6.895217396176819,0.4669232052539666
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,5,341,12.0,6.675995081074439,16.985185623168945,10.091636657714844,10.091636657714844,1.1312087681925007,8.584126377559151,7.969813113424897,0.4657506346198484
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,6,341,12.0,2.8137859191870915,7.944248676300049,5.687570571899414,7.387598991394043,0.5076947158457212,4.480405057460515,6.968056620529839,0.4730069553601524
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,7,341,12.0,6.050188853452041,15.598233222961426,9.89112377166748,9.89112377166748,1.081994169278346,8.069952574170008,7.83376154488988,0.46299916577250805
eight_uav_line_to_circle__px4_step__r01,eight_uav_line_to_circle,px4_step,1,8,341,12.0,4.5171674745654595,12.234905242919922,9.087005615234375,9.087005615234375,0.8791926686831175,6.6175388623725695,7.666104955050508,0.4642533651118018
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,1,343,12.0,3.889368839431809,12.02734375,9.084901809692383,9.084901809692383,1.1368526655683144,6.63172183370779,9.417337655174391,0.4649323155669479
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,2,342,12.0,5.169739136942467,15.328425407409668,9.089409828186035,9.089409828186035,1.4552224369980724,8.034603935207898,9.12530346617688,0.4501987723504348
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,3,342,12.0,2.2913055051484994,7.758053302764893,5.489857196807861,5.489857196807861,0.562678338904762,4.349361830187025,7.712089595263277,0.44845006307966756
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,4,342,12.0,1.9506992670752799,6.724365234375,5.091710567474365,5.091710567474365,0.4171598953610349,3.662188429032879,7.612996542570601,0.44553383696136595
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,5,342,12.0,5.76945409728198,16.69882583618164,8.987504959106445,8.987504959106445,1.5353115621156554,8.58556384242915,8.911224687581614,0.481223639624539
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,6,342,12.0,2.744828661728306,7.933393478393555,5.587042808532715,7.487061500549316,0.5729255464990395,4.571034397331018,6.785412983020221,0.48171584795241995
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,7,342,12.0,5.964343848497749,15.619196891784668,10.19114875793457,nan,1.0167569446676126,7.963348300941287,7.855886571708497,0.451227678402515
eight_uav_line_to_circle__px4_step__r02,eight_uav_line_to_circle,px4_step,2,8,342,12.0,4.477540686174557,12.275629043579102,9.492928504943848,9.492928504943848,0.7985707320724718,6.529514121640948,7.360792348634006,0.45297200961520917
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,1,343,12.0,4.34340645387867,12.26960277557373,9.382680892944336,9.382680892944336,0.7937200411881449,6.5859430191733415,7.561488156460796,0.477877133053769
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,2,342,12.0,5.821720302382564,15.610589981079102,9.88915729522705,9.88915729522705,1.093420154858304,8.12061302254396,7.8314532970092925,0.4824474572915266
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,3,342,12.0,2.772206503214642,7.957913875579834,5.599523067474365,7.1995344161987305,0.40640023836690364,4.3454734072396715,7.097881534429413,0.4474740830494843
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,4,342,12.0,2.306576349515902,6.942305088043213,5.299182891845703,5.299182891845703,0.40086045000861237,3.6785571122008864,6.531741203566752,0.4513566616205095
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,5,343,12.0,6.660366247836938,16.98215103149414,9.684855461120605,9.684855461120605,1.1604263841841238,8.707431410170546,7.701311445016022,0.4669497145819894
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,6,342,12.0,2.827819429595137,7.929740905761719,5.5885138511657715,7.18852424621582,0.41645388551475726,4.370258730389211,7.179747136274579,0.4746689189132441
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,7,342,12.0,6.19080201033098,15.588004112243652,9.700579643249512,9.700579643249512,1.0863838592762498,8.08906557937152,7.818911308062071,0.47333733036426634
eight_uav_line_to_circle__px4_step__r03,eight_uav_line_to_circle,px4_step,3,8,343,12.0,4.564732763282736,12.224693298339844,8.980881690979004,8.980881690979004,0.8367706997859088,6.569224585397505,7.77584049218398,0.44500935929277113
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,1,341,12.0,4.4533073310408255,12.264179229736328,9.595409393310547,9.895530700683594,0.6622725671096354,6.499019243606109,6.946773942535634,0.4803767297680895
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,2,341,12.0,5.8496749882765995,15.610363960266113,10.194534301757812,nan,0.9342558485363579,7.971454475676222,7.566315710232151,0.46514043865178756
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,3,341,12.0,2.7430254842648654,7.952300548553467,5.591099262237549,7.291562557220459,0.4359696040070222,4.424251847016747,6.661618386261286,0.46134722877745754
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,4,341,12.0,2.3047042274541503,6.927331447601318,5.284270286560059,5.284270286560059,0.38851053207982655,3.7646485145071584,6.90552645634462,0.4704900491136844
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,5,341,12.0,6.670479906966329,16.98797035217285,9.89362907409668,9.89362907409668,1.1874864913178627,8.683445825801023,8.042979643722415,0.4688619529969584
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,6,341,12.0,2.822570683994985,7.923848628997803,5.693021774291992,7.293417930603027,0.4827226564448628,4.413830911083111,6.990408157015924,0.4636361337076865
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,7,341,12.0,6.064745706663894,15.586743354797363,9.89539623260498,9.89539623260498,1.0627077592276795,8.06927634460096,7.722409480392336,0.4612209581783278
eight_uav_line_to_circle__px4_step__r04,eight_uav_line_to_circle,px4_step,4,8,341,12.0,4.53229448801007,12.217931747436523,9.092057228088379,9.092057228088379,0.8809002648344926,6.5907293619809915,7.630464518256368,0.45723103707232554
eight_uav_line_to_circle__px4_step__r05,eight_uav_line_to_circle,px4_step,5,1,342,12.0,4.423273471731872,12.282424926757812,nan,nan,0.6632968348665234,6.505991244588624,6.97617647351611,0.45952671697209796
eight_uav_line_to_circle__px4_step__r05,eight_uav_line_to_circle,px4_step,5,2,342,12.0,5.92777742376261,15.615281105041504,nan,nan,0.8875286404216993,7.968571436361946,7.4696531000545185,0.4787542313066728
