result_type,family,endpoint,comparison,N,numerator,denominator,estimate,ci_low,ci_high,ci_method,discordant_0_to_1,discordant_1_to_0,mcnemar_exact_p_raw,mcnemar_exact_p_holm,bootstrap_resamples,bootstrap_seed_uint64
paired_binary_comparison,A,mission_success,F1_vs_F0_at_P0,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,11460157780978786060
paired_binary_comparison,A,mission_success,F1_vs_F0_at_P1,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,16345566122830776019
paired_binary_comparison,A,failsafe_seen,P1_vs_P0_at_F0,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,17897611982632329392
paired_binary_comparison,A,failsafe_seen,P1_vs_P0_at_F1,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,15883740286849542961
paired_binary_comparison,A,failsafe_seen,F1_vs_F0_at_P0,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,3647324561687364529
paired_binary_comparison,A,failsafe_seen,F1_vs_F0_at_P1,23,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,1613515333760870723
factorial_binary_contrast,B,any_realized_hard_risk,Delta_P,26,,,-0.038461538461538464,-0.11538461538461539,0.038461538461538464,scenario-stratified paired-block percentile bootstrap,,,,,10000,17953279993818563520
factorial_binary_contrast,B,any_realized_hard_risk,Delta_F,26,,,-0.34615384615384615,-0.46153846153846156,-0.21153846153846154,scenario-stratified paired-block percentile bootstrap,,,,,10000,830148621169957781
factorial_binary_contrast,B,any_realized_hard_risk,Delta_PF,26,,,0.15384615384615385,-0.038461538461538464,0.34615384615384615,scenario-stratified paired-block percentile bootstrap,,,,,10000,6101613276026180625
factorial_binary_contrast,B,mission_success,Delta_P,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,15552816544935083729
factorial_binary_contrast,B,mission_success,Delta_F,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,17779415900318048050
factorial_binary_contrast,B,mission_success,Delta_PF,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,15359934835703322022
factorial_binary_contrast,B,failsafe_seen,Delta_P,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,12838734218790750173
factorial_binary_contrast,B,failsafe_seen,Delta_F,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,4815965733507445508
factorial_binary_contrast,B,failsafe_seen,Delta_PF,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,2679741166210361550
paired_binary_comparison,B,any_realized_hard_risk,P1_vs_P0_at_F0,26,,,-0.11538461538461539,-0.23076923076923078,0,scenario-stratified paired-block percentile bootstrap,0,3,0.25,1,10000,10486007161012686006
paired_binary_comparison,B,any_realized_hard_risk,P1_vs_P0_at_F1,26,,,0.038461538461538464,-0.076923076923076927,0.15384615384615385,scenario-stratified paired-block percentile bootstrap,2,1,1,1,10000,10465015430980103850
paired_binary_comparison,B,any_realized_hard_risk,F1_vs_F0_at_P0,26,,,-0.42307692307692307,-0.53846153846153844,-0.30769230769230771,scenario-stratified paired-block percentile bootstrap,0,11,0.0009765625,0.01171875,10000,11107253385698784257
paired_binary_comparison,B,any_realized_hard_risk,F1_vs_F0_at_P1,26,,,-0.26923076923076922,-0.46153846153846156,-0.038461538461538464,scenario-stratified paired-block percentile bootstrap,2,9,0.0654296875,0.7197265625,10000,16854707828904362598
paired_binary_comparison,B,mission_success,P1_vs_P0_at_F0,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,14736052989512853439
paired_binary_comparison,B,mission_success,P1_vs_P0_at_F1,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,14653517260621862616
paired_binary_comparison,B,mission_success,F1_vs_F0_at_P0,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,17729009668071058826
paired_binary_comparison,B,mission_success,F1_vs_F0_at_P1,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,17962537612115222147
paired_binary_comparison,B,failsafe_seen,P1_vs_P0_at_F0,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,13110080926954536380
paired_binary_comparison,B,failsafe_seen,P1_vs_P0_at_F1,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,5877982360960970046
paired_binary_comparison,B,failsafe_seen,F1_vs_F0_at_P0,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,9984403944014629361
paired_binary_comparison,B,failsafe_seen,F1_vs_F0_at_P1,26,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,7972498183752464478
factorial_binary_contrast,C,any_realized_hard_risk,Delta_P,25,,,-0.29999999999999999,-0.35999999999999999,-0.23999999999999999,scenario-stratified paired-block percentile bootstrap,,,,,10000,6180240063919842255
factorial_binary_contrast,C,any_realized_hard_risk,Delta_F,25,,,-0.17999999999999999,-0.23999999999999999,-0.12,scenario-stratified paired-block percentile bootstrap,,,,,10000,5267169480509363675
factorial_binary_contrast,C,any_realized_hard_risk,Delta_PF,25,,,-0.35999999999999999,-0.47999999999999998,-0.23999999999999999,scenario-stratified paired-block percentile bootstrap,,,,,10000,4593408116336409459
factorial_binary_contrast,C,mission_success,Delta_P,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,12428603014484877169
factorial_binary_contrast,C,mission_success,Delta_F,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,14768389599060005606
factorial_binary_contrast,C,mission_success,Delta_PF,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,15070081034999494709
factorial_binary_contrast,C,failsafe_seen,Delta_P,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,15068527060117990153
factorial_binary_contrast,C,failsafe_seen,Delta_F,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,9256855479416303692
factorial_binary_contrast,C,failsafe_seen,Delta_PF,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,,,,,10000,6987896271330067133
paired_binary_comparison,C,any_realized_hard_risk,P1_vs_P0_at_F0,25,,,-0.12,-0.23999999999999999,0,scenario-stratified paired-block percentile bootstrap,0,3,0.25,1,10000,4338571700062923517
paired_binary_comparison,C,any_realized_hard_risk,P1_vs_P0_at_F1,25,,,-0.47999999999999998,-0.47999999999999998,-0.47999999999999998,scenario-stratified paired-block percentile bootstrap,0,12,0.00048828125,0.005859375,10000,6866774749794894586
paired_binary_comparison,C,any_realized_hard_risk,F1_vs_F0_at_P0,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,10529682657825343576
paired_binary_comparison,C,any_realized_hard_risk,F1_vs_F0_at_P1,25,,,-0.35999999999999999,-0.47999999999999998,-0.23999999999999999,scenario-stratified paired-block percentile bootstrap,0,9,0.00390625,0.04296875,10000,8004711799973414004
paired_binary_comparison,C,mission_success,P1_vs_P0_at_F0,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,16176003402650986892
paired_binary_comparison,C,mission_success,P1_vs_P0_at_F1,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,6075450694400538676
paired_binary_comparison,C,mission_success,F1_vs_F0_at_P0,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,7300271118435260631
paired_binary_comparison,C,mission_success,F1_vs_F0_at_P1,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,5812049443910218983
paired_binary_comparison,C,failsafe_seen,P1_vs_P0_at_F0,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,9775723595959815488
paired_binary_comparison,C,failsafe_seen,P1_vs_P0_at_F1,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,13248271044436620019
paired_binary_comparison,C,failsafe_seen,F1_vs_F0_at_P0,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,15159098891657421861
paired_binary_comparison,C,failsafe_seen,F1_vs_F0_at_P1,25,,,0,0,0,scenario-stratified paired-block percentile bootstrap,0,0,1,1,10000,14875756538595550746
