campaign_position,trial_id,family,scenario_id,seed,condition,attempt_status,infrastructure_failure_reason,raw_storage_disposition,block_id,block_is_primary_complete
29,E3-A-01__P0_F0__S279520,A,E3-A-01,279520,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S279520,true
30,E3-A-01__P1_F0__S861723,A,E3-A-01,861723,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S861723,true
31,E3-A-01__P1_F0__S135275,A,E3-A-01,135275,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S135275,false
32,E3-A-02__P1_F1__S959517,A,E3-A-02,959517,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S959517,true
33,E3-B-02__P1_F1__S959517,B,E3-B-02,959517,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S959517,false
34,E3-C-01__P0_F0__S709169,C,E3-C-01,709169,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S709169,false
35,E3-A-01__P0_F0__S135275,A,E3-A-01,135275,P0_F0,infrastructure_failure,RuntimeError: interaction deviation driver failed,RAW_ARCHIVE_VERIFIED,E3-A-01__S135275,false
36,E3-B-01__P1_F0__S876320,B,E3-B-01,876320,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S876320,true
37,E3-C-01__P1_F1__S135275,C,E3-C-01,135275,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S135275,true
38,E3-C-01__P0_F1__S591774,C,E3-C-01,591774,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S591774,true
39,E3-C-02__P1_F1__S261093,C,E3-C-02,261093,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S261093,true
40,E3-A-01__P0_F0__S730940,A,E3-A-01,730940,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S730940,true
41,E3-A-01__P0_F1__S881128,A,E3-A-01,881128,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S881128,true
42,E3-A-02__P1_F0__S899696,A,E3-A-02,899696,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S899696,true
43,E3-B-01__P0_F1__S591774,B,E3-B-01,591774,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S591774,true
44,E3-C-02__P1_F1__S926184,C,E3-C-02,926184,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S926184,true
45,E3-B-02__P1_F0__S709169,B,E3-B-02,709169,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S709169,true
46,E3-A-01__P1_F1__S702055,A,E3-A-01,702055,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S702055,true
47,E3-B-01__P1_F0__S861723,B,E3-B-01,861723,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S861723,true
48,E3-B-02__P1_F0__S702055,B,E3-B-02,702055,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S702055,true
49,E3-B-02__P1_F1__S658212,B,E3-B-02,658212,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S658212,true
50,E3-C-02__P1_F1__S730940,C,E3-C-02,730940,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S730940,false
51,E3-B-02__P0_F1__S658212,B,E3-B-02,658212,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S658212,true
52,E3-B-02__P0_F1__S934882,B,E3-B-02,934882,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S934882,true
53,E3-A-02__P0_F0__S861723,A,E3-A-02,861723,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S861723,true
54,E3-A-02__P1_F0__S702055,A,E3-A-02,702055,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S702055,false
55,E3-A-01__P1_F1__S135275,A,E3-A-01,135275,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S135275,false
56,E3-B-01__P1_F1__S926184,B,E3-B-01,926184,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S926184,true
57,E3-A-02__P0_F1__S279520,A,E3-A-02,279520,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S279520,true
58,E3-C-01__P0_F0__S591774,C,E3-C-01,591774,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S591774,true
59,E3-B-02__P1_F0__S876320,B,E3-B-02,876320,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S876320,true
60,E3-C-02__P1_F1__S135275,C,E3-C-02,135275,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S135275,true
61,E3-C-01__P1_F1__S702055,C,E3-C-01,702055,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S702055,true
62,E3-A-01__P0_F1__S279520,A,E3-A-01,279520,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S279520,true
63,E3-C-02__P1_F1__S881128,C,E3-C-02,881128,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S881128,false
64,E3-A-01__P1_F1__S959517,A,E3-A-01,959517,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S959517,true
65,E3-A-02__P0_F0__S658212,A,E3-A-02,658212,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S658212,false
66,E3-C-02__P0_F1__S702055,C,E3-C-02,702055,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S702055,true
67,E3-C-01__P0_F1__S926184,C,E3-C-01,926184,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S926184,true
68,E3-B-01__P0_F0__S591774,B,E3-B-01,591774,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S591774,true
69,E3-A-02__P1_F0__S959517,A,E3-A-02,959517,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S959517,true
70,E3-B-01__P1_F0__S591774,B,E3-B-01,591774,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S591774,true
71,E3-B-02__P0_F1__S702055,B,E3-B-02,702055,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S702055,true
72,E3-B-02__P0_F1__S861723,B,E3-B-02,861723,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S861723,true
73,E3-A-02__P1_F1__S702055,A,E3-A-02,702055,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S702055,false
74,E3-A-02__P1_F0__S926184,A,E3-A-02,926184,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S926184,true
75,E3-C-01__P1_F0__S899696,C,E3-C-01,899696,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S899696,true
76,E3-A-02__P0_F0__S702055,A,E3-A-02,702055,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S702055,false
77,E3-B-02__P0_F0__S861723,B,E3-B-02,861723,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S861723,true
78,E3-C-02__P1_F0__S279520,C,E3-C-02,279520,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S279520,true
79,E3-B-01__P0_F0__S279520,B,E3-B-01,279520,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S279520,false
80,E3-C-01__P0_F1__S279520,C,E3-C-01,279520,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S279520,true
81,E3-B-02__P1_F1__S261093,B,E3-B-02,261093,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S261093,false
82,E3-C-02__P1_F0__S899696,C,E3-C-02,899696,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S899696,true
83,E3-C-01__P0_F0__S730940,C,E3-C-01,730940,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S730940,false
84,E3-A-02__P1_F1__S135275,A,E3-A-02,135275,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S135275,false
85,E3-A-02__P0_F0__S279520,A,E3-A-02,279520,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S279520,true
86,E3-B-02__P1_F1__S135275,B,E3-B-02,135275,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S135275,true
87,E3-A-01__P1_F0__S730940,A,E3-A-01,730940,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S730940,true
88,E3-C-01__P1_F0__S959517,C,E3-C-01,959517,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S959517,true
89,E3-B-01__P1_F1__S658212,B,E3-B-01,658212,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S658212,true
90,E3-A-01__P0_F0__S926184,A,E3-A-01,926184,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S926184,true
91,E3-A-01__P1_F1__S658212,A,E3-A-01,658212,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S658212,true
92,E3-C-02__P1_F0__S135275,C,E3-C-02,135275,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S135275,true
93,E3-C-02__P0_F1__S730940,C,E3-C-02,730940,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S730940,false
94,E3-B-02__P0_F0__S591774,B,E3-B-02,591774,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S591774,false
95,E3-B-01__P0_F1__S135275,B,E3-B-01,135275,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S135275,true
96,E3-A-01__P0_F0__S709169,A,E3-A-01,709169,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S709169,true
97,E3-B-01__P1_F0__S959517,B,E3-B-01,959517,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S959517,true
98,E3-C-02__P1_F1__S876320,C,E3-C-02,876320,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S876320,true
99,E3-A-02__P0_F1__S959517,A,E3-A-02,959517,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S959517,true
100,E3-B-01__P0_F1__S730940,B,E3-B-01,730940,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S730940,true
101,E3-B-02__P1_F1__S876320,B,E3-B-02,876320,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S876320,true
102,E3-C-01__P0_F1__S730940,C,E3-C-01,730940,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S730940,false
103,E3-A-02__P1_F1__S591774,A,E3-A-02,591774,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S591774,true
104,E3-B-01__P0_F1__S279520,B,E3-B-01,279520,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S279520,false
105,E3-C-02__P1_F0__S730940,C,E3-C-02,730940,P1_F0,infrastructure_failure,RuntimeError: all-UAV readiness failed,PRE_RAW_ACQUISITION_INFRASTRUCTURE_FAILURE,E3-C-02__S730940,false
106,E3-A-02__P1_F0__S876320,A,E3-A-02,876320,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S876320,true
107,E3-A-01__P1_F0__S591774,A,E3-A-01,591774,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S591774,true
108,E3-A-02__P1_F0__S861723,A,E3-A-02,861723,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S861723,true
109,E3-A-02__P1_F0__S591774,A,E3-A-02,591774,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S591774,true
110,E3-A-02__P0_F1__S730940,A,E3-A-02,730940,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S730940,false
111,E3-C-01__P1_F0__S135275,C,E3-C-01,135275,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S135275,true
112,E3-C-01__P1_F0__S279520,C,E3-C-01,279520,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S279520,true
113,E3-A-01__P1_F0__S702055,A,E3-A-01,702055,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S702055,true
114,E3-A-01__P1_F1__S591774,A,E3-A-01,591774,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S591774,true
115,E3-C-02__P0_F0__S934882,C,E3-C-02,934882,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S934882,true
116,E3-A-01__P1_F0__S881128,A,E3-A-01,881128,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S881128,true
117,E3-A-02__P0_F0__S959517,A,E3-A-02,959517,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S959517,true
118,E3-C-01__P1_F0__S934882,C,E3-C-01,934882,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S934882,true
119,E3-A-01__P0_F1__S899696,A,E3-A-01,899696,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S899696,true
120,E3-A-01__P0_F0__S861723,A,E3-A-01,861723,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S861723,true
121,E3-A-01__P1_F1__S926184,A,E3-A-01,926184,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S926184,true
122,E3-A-01__P1_F1__S261093,A,E3-A-01,261093,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S261093,true
123,E3-A-01__P0_F1__S926184,A,E3-A-01,926184,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S926184,true
124,E3-C-01__P0_F0__S899696,C,E3-C-01,899696,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S899696,true
125,E3-A-01__P1_F0__S279520,A,E3-A-01,279520,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S279520,true
126,E3-C-01__P1_F0__S876320,C,E3-C-01,876320,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S876320,true
127,E3-C-02__P1_F1__S591774,C,E3-C-02,591774,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S591774,true
128,E3-B-01__P0_F1__S861723,B,E3-B-01,861723,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S861723,true
129,E3-C-02__P0_F0__S261093,C,E3-C-02,261093,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S261093,true
130,E3-C-01__P1_F1__S658212,C,E3-C-01,658212,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S658212,true
131,E3-C-01__P0_F1__S934882,C,E3-C-01,934882,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S934882,true
132,E3-A-02__P0_F1__S658212,A,E3-A-02,658212,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S658212,false
133,E3-B-02__P0_F0__S934882,B,E3-B-02,934882,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S934882,true
134,E3-B-01__P1_F0__S279520,B,E3-B-01,279520,P1_F0,infrastructure_failure,formal metric/delivery verification failed,RAW_ARCHIVE_VERIFIED,E3-B-01__S279520,false
135,E3-B-02__P1_F1__S702055,B,E3-B-02,702055,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S702055,true
136,E3-C-02__P1_F1__S279520,C,E3-C-02,279520,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S279520,true
137,E3-B-01__P1_F0__S261093,B,E3-B-01,261093,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S261093,true
138,E3-A-01__P1_F0__S658212,A,E3-A-01,658212,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S658212,true
139,E3-C-02__P0_F1__S591774,C,E3-C-02,591774,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S591774,true
140,E3-A-01__P0_F1__S658212,A,E3-A-01,658212,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S658212,true
141,E3-A-02__P0_F0__S709169,A,E3-A-02,709169,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S709169,true
142,E3-C-01__P1_F0__S861723,C,E3-C-01,861723,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S861723,true
143,E3-C-02__P1_F1__S899696,C,E3-C-02,899696,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S899696,true
144,E3-A-01__P0_F1__S702055,A,E3-A-01,702055,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S702055,true
145,E3-A-01__P0_F1__S709169,A,E3-A-01,709169,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S709169,true
146,E3-B-01__P1_F0__S926184,B,E3-B-01,926184,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S926184,true
147,E3-C-01__P1_F0__S709169,C,E3-C-01,709169,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S709169,false
148,E3-C-01__P0_F1__S135275,C,E3-C-01,135275,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S135275,true
149,E3-A-02__P0_F1__S926184,A,E3-A-02,926184,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S926184,true
150,E3-C-01__P1_F1__S881128,C,E3-C-01,881128,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S881128,true
151,E3-A-02__P0_F1__S591774,A,E3-A-02,591774,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S591774,true
152,E3-A-01__P1_F0__S261093,A,E3-A-01,261093,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S261093,true
153,E3-A-01__P1_F1__S876320,A,E3-A-01,876320,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S876320,true
154,E3-C-02__P1_F0__S881128,C,E3-C-02,881128,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S881128,false
155,E3-B-02__P1_F0__S135275,B,E3-B-02,135275,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S135275,true
156,E3-A-01__P1_F1__S881128,A,E3-A-01,881128,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S881128,true
157,E3-A-02__P1_F1__S899696,A,E3-A-02,899696,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S899696,true
158,E3-C-02__P1_F0__S658212,C,E3-C-02,658212,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S658212,true
159,E3-A-02__P0_F0__S876320,A,E3-A-02,876320,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S876320,true
160,E3-C-01__P1_F0__S730940,C,E3-C-01,730940,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S730940,false
161,E3-A-01__P1_F1__S934882,A,E3-A-01,934882,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S934882,true
162,E3-C-02__P0_F1__S709169,C,E3-C-02,709169,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S709169,true
163,E3-C-02__P1_F0__S861723,C,E3-C-02,861723,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S861723,true
164,E3-C-01__P1_F1__S709169,C,E3-C-01,709169,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S709169,false
165,E3-B-01__P0_F0__S959517,B,E3-B-01,959517,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S959517,true
166,E3-C-01__P1_F1__S261093,C,E3-C-01,261093,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S261093,false
167,E3-B-02__P0_F0__S135275,B,E3-B-02,135275,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S135275,true
168,E3-A-02__P1_F0__S135275,A,E3-A-02,135275,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S135275,false
169,E3-A-01__P0_F0__S876320,A,E3-A-01,876320,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S876320,true
170,E3-B-02__P1_F0__S861723,B,E3-B-02,861723,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S861723,true
171,E3-C-01__P0_F0__S959517,C,E3-C-01,959517,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S959517,true
172,E3-C-02__P0_F0__S730940,C,E3-C-02,730940,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S730940,false
173,E3-B-01__P0_F0__S934882,B,E3-B-01,934882,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S934882,true
174,E3-C-02__P1_F0__S934882,C,E3-C-02,934882,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S934882,true
175,E3-C-01__P1_F1__S899696,C,E3-C-01,899696,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S899696,true
176,E3-B-02__P0_F0__S279520,B,E3-B-02,279520,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S279520,true
177,E3-B-02__P1_F1__S730940,B,E3-B-02,730940,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S730940,true
178,E3-A-01__P0_F1__S135275,A,E3-A-01,135275,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S135275,false
179,E3-C-01__P0_F1__S959517,C,E3-C-01,959517,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S959517,true
180,E3-B-02__P1_F1__S926184,B,E3-B-02,926184,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S926184,true
181,E3-B-02__P1_F1__S591774,B,E3-B-02,591774,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S591774,false
182,E3-C-02__P1_F1__S702055,C,E3-C-02,702055,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S702055,true
183,E3-A-02__P1_F0__S709169,A,E3-A-02,709169,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S709169,true
184,E3-B-02__P0_F1__S881128,B,E3-B-02,881128,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S881128,true
185,E3-B-01__P0_F1__S261093,B,E3-B-01,261093,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S261093,true
186,E3-B-01__P1_F0__S934882,B,E3-B-01,934882,P1_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S934882,true
187,E3-B-01__P0_F0__S899696,B,E3-B-01,899696,P0_F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S899696,true
188,E3-C-02__P1_F1__S658212,C,E3-C-02,658212,P1_F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S658212,true
189,E3-A-01__P0_F1__S261093,A,E3-A-01,261093,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S261093,true
190,E3-B-02__P0_F1__S261093,B,E3-B-02,261093,P0_F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S261093,false
