campaign_position,trial_id,family,family_registered_name,scenario_id,seed,condition,planning,feedback,attempt_status,infrastructure_failure_reason,raw_storage_disposition,block_id,block_is_primary_complete,whether_block_is_primary_complete,scientifically_eligible,j_hard_pair_s,realized_min_separation_m,hard_risk_event_count,predicted_min_separation_m,predicted_hard_conflict_count,controller_near_limit_fraction,any_realized_hard_risk,mission_success,failsafe_seen,feedback_intervention_burden,feedback_intervention_burden_availability
77,E3-B-02__P0_F0__S861723,B,B_residual_execution_risk,E3-B-02,861723,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S861723,true,true,true,0.98514986038208008,1.3955200175536073,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
78,E3-C-02__P1_F0__S279520,C,C_mixed_risk,E3-C-02,279520,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S279520,true,true,true,1.1830694675445557,1.4146094509621479,2,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
79,E3-B-01__P0_F0__S279520,B,B_residual_execution_risk,E3-B-01,279520,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S279520,false,false,true,1.9280223846435547,1.4467831940341902,7,1.9999999999999998,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
80,E3-C-01__P0_F1__S279520,C,C_mixed_risk,E3-C-01,279520,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S279520,true,true,true,1.3472549915313721,0.58694653084666393,2,0.42748229992745784,2,0.00125,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
81,E3-B-02__P1_F1__S261093,B,B_residual_execution_risk,E3-B-02,261093,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S261093,false,false,true,0.70590376853942871,1.375041985914965,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
82,E3-C-02__P1_F0__S899696,C,C_mixed_risk,E3-C-02,899696,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S899696,true,true,true,1.1307871341705322,1.3974787350970292,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
83,E3-C-01__P0_F0__S730940,C,C_mixed_risk,E3-C-01,730940,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S730940,false,false,true,1.5220859050750732,0.57523332951933048,2,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
84,E3-A-02__P1_F1__S135275,A,A_predictable_structural_risk,E3-A-02,135275,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S135275,false,false,true,0,2.2320787052713236,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
85,E3-A-02__P0_F0__S279520,A,A_predictable_structural_risk,E3-A-02,279520,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S279520,true,true,true,2.7152931690216064,0.060572294224406076,2,0,2,0.17739130434782607,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
86,E3-B-02__P1_F1__S135275,B,B_residual_execution_risk,E3-B-02,135275,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S135275,true,true,true,0.67161822319030762,1.4118046453642816,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
87,E3-A-01__P1_F0__S730940,A,A_predictable_structural_risk,E3-A-01,730940,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S730940,true,true,true,0,1.9595634589218218,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
88,E3-C-01__P1_F0__S959517,C,C_mixed_risk,E3-C-01,959517,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S959517,true,true,true,2.4282441139221191,1.385273666090121,2,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
89,E3-B-01__P1_F1__S658212,B,B_residual_execution_risk,E3-B-01,658212,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S658212,true,true,true,0,1.5180000952940105,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
90,E3-A-01__P0_F0__S926184,A,A_predictable_structural_risk,E3-A-01,926184,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S926184,true,true,true,1.0863444805145264,0.62864781854494467,2,0.42748229992745784,2,0.0043750000000000004,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
91,E3-A-01__P1_F1__S658212,A,A_predictable_structural_risk,E3-A-01,658212,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S658212,true,true,true,0,1.9509649191796947,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
92,E3-C-02__P1_F0__S135275,C,C_mixed_risk,E3-C-02,135275,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S135275,true,true,true,1.1270346641540527,1.4029539763914125,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
93,E3-C-02__P0_F1__S730940,C,C_mixed_risk,E3-C-02,730940,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S730940,false,false,true,2.4353082180023193,0.77606553506501885,3,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
94,E3-B-02__P0_F0__S591774,B,B_residual_execution_risk,E3-B-02,591774,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S591774,false,false,true,0.8863074779510498,1.3958747107686489,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
95,E3-B-01__P0_F1__S135275,B,B_residual_execution_risk,E3-B-01,135275,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S135275,true,true,true,0,1.5123503486695655,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
96,E3-A-01__P0_F0__S709169,A,A_predictable_structural_risk,E3-A-01,709169,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S709169,true,true,true,1.081944465637207,0.14072007241610465,2,0.42748229992745784,2,0.0018749999999999999,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
97,E3-B-01__P1_F0__S959517,B,B_residual_execution_risk,E3-B-01,959517,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S959517,true,true,true,2.5767738819122314,1.3974476119354657,1,1.9999999999999998,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
98,E3-C-02__P1_F1__S876320,C,C_mixed_risk,E3-C-02,876320,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S876320,true,true,true,0.62256288528442383,1.3950857021236369,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
99,E3-A-02__P0_F1__S959517,A,A_predictable_structural_risk,E3-A-02,959517,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S959517,true,true,true,2.22176194190979,0.048441051293718777,2,0,2,0.045434782608695649,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
100,E3-B-01__P0_F1__S730940,B,B_residual_execution_risk,E3-B-01,730940,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S730940,true,true,true,0,1.5001145428332705,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
101,E3-B-02__P1_F1__S876320,B,B_residual_execution_risk,E3-B-02,876320,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S876320,true,true,true,0.67661571502685547,1.387708607881055,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
102,E3-C-01__P0_F1__S730940,C,C_mixed_risk,E3-C-01,730940,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S730940,false,false,true,1.3785676956176758,0.54711314059315552,2,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
103,E3-A-02__P1_F1__S591774,A,A_predictable_structural_risk,E3-A-02,591774,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S591774,true,true,true,0,2.2391234112252292,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
104,E3-B-01__P0_F1__S279520,B,B_residual_execution_risk,E3-B-01,279520,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S279520,false,false,true,0.18895530700683594,1.4947624663404133,2,1.9999999999999998,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
105,E3-C-02__P1_F0__S730940,C,C_mixed_risk,E3-C-02,730940,P1_F0,P1,F0,infrastructure_failure,RuntimeError: all-UAV readiness failed,PRE_RAW_ACQUISITION_INFRASTRUCTURE_FAILURE,E3-C-02__S730940,false,false,false,,,,,,,,,,,UNAVAILABLE_DUE_TO_INFRASTRUCTURE_FAILURE
106,E3-A-02__P1_F0__S876320,A,A_predictable_structural_risk,E3-A-02,876320,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S876320,true,true,true,0,2.2543832614571113,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
107,E3-A-01__P1_F0__S591774,A,A_predictable_structural_risk,E3-A-01,591774,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S591774,true,true,true,0,1.9590952421727073,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
108,E3-A-02__P1_F0__S861723,A,A_predictable_structural_risk,E3-A-02,861723,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S861723,true,true,true,0,2.2674839631186119,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
109,E3-A-02__P1_F0__S591774,A,A_predictable_structural_risk,E3-A-02,591774,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S591774,true,true,true,0,2.2635689454923269,0,2.2483866045465772,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
110,E3-A-02__P0_F1__S730940,A,A_predictable_structural_risk,E3-A-02,730940,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S730940,false,false,true,3.1105291843414307,0.1226586588775728,2,0,2,0.040434782608695652,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
111,E3-C-01__P1_F0__S135275,C,C_mixed_risk,E3-C-01,135275,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S135275,true,true,true,2.2774069309234619,1.4038181914084489,4,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
112,E3-C-01__P1_F0__S279520,C,C_mixed_risk,E3-C-01,279520,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S279520,true,true,true,0,1.5167737369478433,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
113,E3-A-01__P1_F0__S702055,A,A_predictable_structural_risk,E3-A-01,702055,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S702055,true,true,true,0,1.9487506072208656,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
114,E3-A-01__P1_F1__S591774,A,A_predictable_structural_risk,E3-A-01,591774,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S591774,true,true,true,0,1.9401506535682622,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
115,E3-C-02__P0_F0__S934882,C,C_mixed_risk,E3-C-02,934882,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S934882,true,true,true,3.0903220176696777,0.5027980213330776,3,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
116,E3-A-01__P1_F0__S881128,A,A_predictable_structural_risk,E3-A-01,881128,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S881128,true,true,true,0,1.9535946014439918,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
117,E3-A-02__P0_F0__S959517,A,A_predictable_structural_risk,E3-A-02,959517,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S959517,true,true,true,8.3079719543457031,0.10418474035382362,7,0,2,0.19608695652173913,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
118,E3-C-01__P1_F0__S934882,C,C_mixed_risk,E3-C-01,934882,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S934882,true,true,true,2.7129096984863281,1.3932607541869915,4,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
119,E3-A-01__P0_F1__S899696,A,A_predictable_structural_risk,E3-A-01,899696,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S899696,true,true,true,1.1527760028839111,0.12549945739000562,2,0.42748229992745784,2,0.026249999999999999,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
120,E3-A-01__P0_F0__S861723,A,A_predictable_structural_risk,E3-A-01,861723,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S861723,true,true,true,1.1175870895385742,0.64824896966026302,2,0.42748229992745784,2,0.0087500000000000008,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
121,E3-A-01__P1_F1__S926184,A,A_predictable_structural_risk,E3-A-01,926184,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S926184,true,true,true,0,1.9512508617570039,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
122,E3-A-01__P1_F1__S261093,A,A_predictable_structural_risk,E3-A-01,261093,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S261093,true,true,true,0,1.9581344795318918,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
123,E3-A-01__P0_F1__S926184,A,A_predictable_structural_risk,E3-A-01,926184,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S926184,true,true,true,0.99854731559753418,0.67847098485351709,2,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
124,E3-C-01__P0_F0__S899696,C,C_mixed_risk,E3-C-01,899696,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S899696,true,true,true,3.2683572769165039,0.58387385736459296,7,0.42748229992745784,2,0.001,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
125,E3-A-01__P1_F0__S279520,A,A_predictable_structural_risk,E3-A-01,279520,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S279520,true,true,true,0,1.9526087279935114,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
126,E3-C-01__P1_F0__S876320,C,C_mixed_risk,E3-C-01,876320,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S876320,true,true,true,0,1.5257183299826105,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
127,E3-C-02__P1_F1__S591774,C,C_mixed_risk,E3-C-02,591774,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S591774,true,true,true,0.64426875114440918,1.3934466440465796,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
128,E3-B-01__P0_F1__S861723,B,B_residual_execution_risk,E3-B-01,861723,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S861723,true,true,true,0.26500964164733887,1.493002000796529,2,1.9999999999999998,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
129,E3-C-02__P0_F0__S261093,C,C_mixed_risk,E3-C-02,261093,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S261093,true,true,true,3.0323154926300049,0.48328105792947512,3,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
130,E3-C-01__P1_F1__S658212,C,C_mixed_risk,E3-C-01,658212,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S658212,true,true,true,0,1.5057113785817724,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
131,E3-C-01__P0_F1__S934882,C,C_mixed_risk,E3-C-01,934882,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S934882,true,true,true,1.3262186050415039,0.57702005616310814,2,0.42748229992745784,2,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
132,E3-A-02__P0_F1__S658212,A,A_predictable_structural_risk,E3-A-02,658212,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S658212,false,false,true,2.1878960132598877,0.035204225206576817,2,0,2,0.01,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
133,E3-B-02__P0_F0__S934882,B,B_residual_execution_risk,E3-B-02,934882,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S934882,true,true,true,0.91077637672424316,1.37925614618932,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
134,E3-B-01__P1_F0__S279520,B,B_residual_execution_risk,E3-B-01,279520,P1_F0,P1,F0,infrastructure_failure,formal metric/delivery verification failed,RAW_ARCHIVE_VERIFIED,E3-B-01__S279520,false,false,false,,,,,,,,,,,UNAVAILABLE_DUE_TO_INFRASTRUCTURE_FAILURE
135,E3-B-02__P1_F1__S702055,B,B_residual_execution_risk,E3-B-02,702055,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-B-02__S702055,true,true,true,0.6692357063293457,1.3892706216792259,1,2.3999999999999999,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
136,E3-C-02__P1_F1__S279520,C,C_mixed_risk,E3-C-02,279520,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S279520,true,true,true,0.64040231704711914,1.4056367792721955,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
137,E3-B-01__P1_F0__S261093,B,B_residual_execution_risk,E3-B-01,261093,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S261093,true,true,true,2.4146547317504883,1.4024173350523621,3,1.9999999999999998,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
138,E3-A-01__P1_F0__S658212,A,A_predictable_structural_risk,E3-A-01,658212,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S658212,true,true,true,0,1.9588605548316538,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
139,E3-C-02__P0_F1__S591774,C,C_mixed_risk,E3-C-02,591774,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S591774,true,true,true,2.3491785526275635,0.53480483639851872,3,0.42748229992745784,2,0.0018749999999999999,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
140,E3-A-01__P0_F1__S658212,A,A_predictable_structural_risk,E3-A-01,658212,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S658212,true,true,true,1.0828309059143066,0.19733743601264828,2,0.42748229992745784,2,0.011875,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
141,E3-A-02__P0_F0__S709169,A,A_predictable_structural_risk,E3-A-02,709169,P0_F0,P0,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S709169,true,true,true,2.0600428581237793,0.0940103727593357,2,0,2,0.041956521739130434,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
142,E3-C-01__P1_F0__S861723,C,C_mixed_risk,E3-C-01,861723,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S861723,true,true,true,1.3597972393035889,1.4463239858979444,7,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
143,E3-C-02__P1_F1__S899696,C,C_mixed_risk,E3-C-02,899696,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-02__S899696,true,true,true,0.68129324913024902,1.3900342522534801,1,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
144,E3-A-01__P0_F1__S702055,A,A_predictable_structural_risk,E3-A-01,702055,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S702055,true,true,true,1.0938072204589844,0.65053770134795941,2,0.42748229992745784,2,0.02375,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
145,E3-A-01__P0_F1__S709169,A,A_predictable_structural_risk,E3-A-01,709169,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S709169,true,true,true,1.1985609531402588,0.099816697317478303,2,0.42748229992745784,2,0.031875000000000001,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
146,E3-B-01__P1_F0__S926184,B,B_residual_execution_risk,E3-B-01,926184,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-B-01__S926184,true,true,true,0,1.5078872005874084,0,1.9999999999999998,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
147,E3-C-01__P1_F0__S709169,C,C_mixed_risk,E3-C-01,709169,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S709169,false,false,true,2.4668824672698975,1.3954880536821272,2,2,0,0,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
148,E3-C-01__P0_F1__S135275,C,C_mixed_risk,E3-C-01,135275,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S135275,true,true,true,1.3579797744750977,0.5831377733905323,2,0.42748229992745784,2,0.00125,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
149,E3-A-02__P0_F1__S926184,A,A_predictable_structural_risk,E3-A-02,926184,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S926184,true,true,true,2.358100414276123,0.10784763406711355,2,0,2,0.040652173913043481,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
150,E3-C-01__P1_F1__S881128,C,C_mixed_risk,E3-C-01,881128,P1_F1,P1,F1,success,,RAW_ARCHIVE_VERIFIED,E3-C-01__S881128,true,true,true,0,1.51603009315745,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
151,E3-A-02__P0_F1__S591774,A,A_predictable_structural_risk,E3-A-02,591774,P0_F1,P0,F1,success,,RAW_ARCHIVE_VERIFIED,E3-A-02__S591774,true,true,true,3.682267427444458,0.18507376719234483,2,0,2,0.12108695652173913,1,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
152,E3-A-01__P1_F0__S261093,A,A_predictable_structural_risk,E3-A-01,261093,P1_F0,P1,F0,success,,RAW_ARCHIVE_VERIFIED,E3-A-01__S261093,true,true,true,0,1.9434195842423045,0,2,0,0,0,1,0,,PREREGISTERED_ENDPOINT_UNAVAILABLE_DUE_TO_INSTRUMENTATION_OMISSION
