stratum_type,stratum_value,endpoint,kind,unit,registered_n,available_n,numerator,denominator,proportion,wilson_95_low,wilson_95_high,mean,median,sample_sd,iqr,min,max
B_family,UNDER_SPECIFIED,mission_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,UNDER_SPECIFIED,failsafe,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,UNDER_SPECIFIED,hard_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,UNDER_SPECIFIED,actual_d_min,continuous,m,15,15,,,,,,1.8453623816529878,1.7784924019242552,0.1606223178769567,0.3180336280566236,1.685346493168869,2.090509222383794
B_family,UNDER_SPECIFIED,tracking_rmse,continuous,m,15,15,,,,,,0.13011035826531206,0.13026404380393583,0.010327512155614432,0.017091759697127812,0.1131393915507245,0.14877491159806722
B_family,UNDER_SPECIFIED,final_error,continuous,m,15,15,,,,,,0.11911934173913692,0.14724338829645747,0.04550922942119834,0.09096743313077396,0.051130335841062004,0.1625295290568624
B_family,UNDER_SPECIFIED,completion_time,continuous,s,15,15,,,,,,7.870050017038981,7.505854845046997,1.8633678165172398,4.348069429397583,5.860374927520752,10.241188764572144
B_family,UNDER_SPECIFIED,T_LLM,continuous,s,15,15,,,,,,14.637925483666667,14.01194949,4.558185374209995,6.2788248825,9.923236594,25.328986012
B_family,UNDER_SPECIFIED,T_mission_execution,continuous,s,15,15,,,,,,9.234896707199999,8.460654207,3.128694556814963,7.0515967495,5.949068423,13.962922098
B_family,COMPOSITIONAL,scientific_completeness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,COMPOSITIONAL,infrastructure_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,COMPOSITIONAL,candidate_correctness,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,COMPOSITIONAL,resolver_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,COMPOSITIONAL,mission_completion,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,COMPOSITIONAL,mission_success,binary,proportion,15,15,15,15,1.0,0.7961166989641515,1.0,,,,,,
B_family,COMPOSITIONAL,failsafe,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,COMPOSITIONAL,hard_failure,binary,proportion,15,15,0,15,0.0,0.0,0.20388330103584862,,,,,,
B_family,COMPOSITIONAL,actual_d_min,continuous,m,15,15,,,,,,2.1172339293418183,2.08486324811914,0.22964262053232423,0.5254943167432409,1.8569572544676016,2.420401543892897
B_family,COMPOSITIONAL,tracking_rmse,continuous,m,15,15,,,,,,0.058145531728938965,0.053982103429227594,0.018916603606418936,0.04298868518435919,0.037453834992746265,0.08348931644374945
B_family,COMPOSITIONAL,final_error,continuous,m,15,15,,,,,,0.07157395184082714,0.07256927996846438,0.030558629175918738,0.058841143465897756,0.028180061263954472,0.11166475310979358
B_family,COMPOSITIONAL,completion_time,continuous,s,15,15,,,,,,15.034072415033977,15.036328554153442,0.0072895715007156745,0.0072432756423950195,15.014641761779785,15.040327548980713
B_family,COMPOSITIONAL,T_LLM,continuous,s,15,15,,,,,,29.836061840133333,25.338590732,17.01517811064144,9.340133283999997,16.464728028,84.644409658
B_family,COMPOSITIONAL,T_mission_execution,continuous,s,15,15,,,,,,15.578874626533333,15.160399044,0.6440306090752017,1.308678325499999,15.074345848,16.525705575
